zpid,bed,bath,sqft,street,city,state,overview,image,price,is_augmented
21240711,2,2.0,1023.0,Linden Ave,Long Beach,CA,"This beautifully updated 2 bedroom 2 bath unit features, a Beautiful kitchen with shaker style cabinets and quartz counter top. Spacious dining area and large comfortable living room with large windows with views into the grassy courtyard. Enjoy in the heart in Downtown Long Beach 2 full bedrooms with large closets and 2 full spacious restroom all fully remodeled. Really must see Located in the Arts District of Long Beach, walking distance to the beach, shops, restaurants, gyms and great wine shops. #artsDistrict #LongBeach #queenmarry",https://photos.zillowstatic.com/fp/0ab45f3b5292e12fc487e0e820e8a811-cc_ft_960.jpg,0.444,False
21246327,3,2.0,1254.0,Adriatic Ave,Long Beach,CA,"This nice 2 story home has 3 bedrooms 2 baths. It has a large balcony over a 2 car garage. This home is conveniently located near local parks, schools and shopping centers, it is located near 710 and 405 freeways.",https://photos.zillowstatic.com/fp/28d229c4090db92f97e27f7d65631da6-cc_ft_960.jpg,0.65,False
67695629,1,1.0,680.0,E Ocean Blvd,Long Beach,CA,"Enjoy beautiful city views and a cosmopolitan lifestyle from this 10th floor luxury high-rise condo. This well designed unit has a spacious feel and upgraded laminate flooring plus a dining and prep island in the kitchen.  It includes everything you would expect in upscale living including central air conditioning, plenty of closet space and a full sized washer and dryer. Enjoy dynamic city views from your living room, bedroom and balcony. Community amenities include 24/7 front desk concierge services, spa, pool, club house, and business centers. Close to the beach, entertainment venues, transportation, and shopping.  Live in luxury next to the action.",https://photos.zillowstatic.com/fp/dd0f63d5a73b3556bea3aba2f0f260ff-cc_ft_960.jpg,0.485,False
21231757,1,1.0,786.0,E Ocean Blvd,Long Beach,CA,"Enjoy beach living in this spacious one bedroom one bathroom condo, located steps away from Alamitos Beach. Featuring large windows, ample closet space in the bedroom, and an updated bathroom, this unit is full of Long Beach charm with ocean views just around the corner. Located on the first floor with secured entrance. Building amenities include a large sun deck and private staircase with beach access. Short drive to the desirable Shoreline Village, Pike Outlets, Downtown Long Beach, and much more. Unit is tenant occupied until 6/30.",https://photos.zillowstatic.com/fp/f9e28aa8519fbed91314a7bc89003bba-cc_ft_960.jpg,0.465,False
65236709,1,2.0,765.0,Atlantic Ave,Long Beach,CA,"Nice end unit location This 1 bedroom, 1.5 bath condo located in a very conveniently location As you enter you are greeted by a cozy living area which leads into the open kitchen. Which features a beautiful farmhouse sink, soft close cabinets and drawers and a nice countertop. Also included durable stainless steel appliances. Also features a half bath and pantry underneath the stairs giving you additional storage space. A good size master suite located in the upper level, sliding glass door to the balcony so you can enjoy your favorite book. Good size double closet and a good size full bathroom.  Laundry room conveniently located adjacent to the master bedroom. The tankless it's located in the attic. These complex amenities include a pool and spa. But do not walk you better run before it is gone.",https://photos.zillowstatic.com/fp/7cdbfc3f900f658afb1cd009ac74979e-cc_ft_960.jpg,0.27,False
21163249,2,1.0,926.0,Olive Ave,Long Beach,CA,"Here’s your opportunity to get into the historic and charming California Heights neighborhood! Stepping in from the prestigious tree-lined streets, the open concept living space filled with natural light will immediately draw you in! From the large, updated kitchen featuring stainless steel appliances, white cabinets and subway tile, you’ll look across your expansive quartz island to your bay windows framing your beautiful front yard. Beautiful flooring throughout, the gorgeous living room with large skylight make this the perfect home for entertaining. Featuring two large bedrooms and one upgraded bath, the main bedroom has French doors leading to the expansive backyard with a large patio allowing for outdoor living. A detached 2 car garage with  new cement hardscape for additional parking complete with brand new electric gate providing access to the alley. Additional upgrades include Nest controlled air conditioning and Nuvia water filtration system. Close to California Distinguished Schools, Longfellow Elementary and Hughes Middle School. Close to parks, shopping, restaurants and freeway friendly. You’ll love this home!",https://photos.zillowstatic.com/fp/f29ae31d3742b9951d1b858bf3eb26ec-cc_ft_960.jpg,0.98,False
21153564,3,2.0,1586.0,Linden Ave,Long Beach,CA,"Newly renovated Spanish family home in Long Beach! This three bedroom, two bathroom home has been updated reflecting today's home interior must haves, including engineered hard wood flooring, Granite Calacatta and butcher block kitchen counter tops.  Appliances include a dishwasher, oven, refrigerator, washer, dryer and a water softener.  Indoor/outdoor living completes this California haven with newly built back yard decking, great for entertaining. The 2 car detached garage adds an opportunity for a possible ADU conversation. Close to the new 84-unit mixed-use townhome and retail development currently under construction. This home is not to be missed.",https://photos.zillowstatic.com/fp/d7af2569959178549e9c903cb178a4b4-cc_ft_960.jpg,0.799,False
21142120,2,1.0,862.0,Lime Ave,Long Beach,CA,"WOW WOW WOW - 1ST TIME ON MARKET IN 20 YEARS - HONEY, STOP THE CAR, THIS IS THE ONE !!    GREAT OPPORTUNITY - PRIDE OF OWNERSHIP SHOWS - UPGRADES GALORE -     Gorgeous 2 Bedroom 1 Bath with lots of upgrades. This home has been loved & pampered all the way through, attention to detail in every aspect, this beautiful large backyard property won't last long - Newer Roof, Upgraded Gourmet Kitchen, Copper Piping, Upgraded Bathroom/Shower, Tankless Water Heater, Wall Mounted AC Units, Central Heating and much much more, this is THE ONE YOU HAVE BEEN LOOKING FOR !!   ACT FAST, THIS GORGEOUS HOME WON'T LAST !!",https://photos.zillowstatic.com/fp/1981fd7873906dd7b3daf9d2d78f1f0b-cc_ft_960.jpg,0.6299,False
2070132657,1,1.0,873.0,Marina Pacifica Dr S,Long Beach,CA,"This one bedroom, one bath condo boasts a prime location next to the water, offering stunning views and easy access to marina activities. The condo is fully upgraded and has undergone extensive renovations, including new plumbing and electrical, making it highly modern and efficient. The interior is beautifully presented, featuring modern finishes, fixtures and amenities that offer both style and comfort. As you walk through the condo, you'll be greeted by an open and inviting living area and a spacious bedroom complete with ample closet space. The bathroom is elegantly designed, featuring high-end finishes and fixtures that compliment the modern and sophisticated aesthetic of the condo. Overall this property is an excellent choice for anyone seeking luxurious and modern urban living. Whether you're a professional couple or a solo dweller, this property offers all amenities and conveniences you need to live comfortably and stylishly.Marina Pacifica is a guard gated community with 6 pools,6 spas, lagoons, Fitness center and a club house, walking distance to shopping and dining, biking distance to the beach. Don't hesitate to schedule a viewing today!",https://photos.zillowstatic.com/fp/fc5e614ac2b700dcc9c7afaf93779ddc-cc_ft_960.jpg,0.73,False
21205031,3,2.0,1862.0,San Vicente Ave,Long Beach,CA,"Gorgeous, remodeled home with Permitted ADU nestled in the highly desirable neighborhood of Los Altos providing a private everyday sanctuary. This marvelous masterpiece delivers elegance inside and out with a 3 bed, 2 bath 1,495 Square Foot home and 367 Square Foot ADU for 1,862 Square Feet in total. Brand new roof on both structures. Endless home upgrades include new central AC and heater. The kitchen is replete with modern shaker cabinets adorned with a high-design backsplash, quartz countertop, stainless-steel appliances, and farmhouse sink seated in an oversized peninsula open to the dining room. New windows envelope the home for excellent natural light in all rooms and spaces while new recessed lighting is located throughout for nighttime activities. The master suite is sublime with 2 separate closets including stacked shelving, a dual sink vanity that is complemented with a splendid backsplash, a stunning oversized shower garnished with a 16-inch waterfall showerhead, shower wand, and generous-sized shower niche. Important, yet often overlooked, excellent storage with 4 new linen closets throughout. 2 New separate electrical panels for home and ADU with Separate Electric and and Gas Meters! ADU is rich with amenities including a tankless water heater, modern vanity and kitchen backsplash, and stainless-steel appliances! Well-manicured yard, front and back. 3 mature citrus trees adjacent to a beautiful redwood deck that awaits your presence where you can entertain or simply immerse yourself with a morning latte and good reading material as you are enveloped by the natural surroundings of tranquility.  Great location and surrounded by A-Rated schools K through 12 including Prisk, which is ranked higher than Minnie Gant! Walking distance to Cal State Long Beach including the Walter Pyramid! Well under a mile to Los Altos Park, Whaley Park, numerous major retailers, and restaurants such as Target, CVS, L.A Fitness, Trader's Joes, Lazy Acres, Starbucks, Post Office and more with great access to the 405.",https://photos.zillowstatic.com/fp/bb05ebd9b4afd07a901007c639d3b8b2-cc_ft_960.jpg,1.3,False
