zpid,bed,bath,sqft,street,city,state,overview,images,price
111919973,1,2.0,1030.0,E 4th St,Long Beach,CA,"Welcome to unit #417 at Blu, one of Long Beach's most desirable luxury condo buildings in the downtown area. With its modern, chic style and decor it's no wonder why the residents love living here. As you enter the secured building you'll notice the attention to detail, swanky lounge space, cozy coffee bar, and the communal library. This elegant community offers incredible amenities like an incredible sports lounge equipped with a pool table, TVs, bar area, lounge, and balcony. It's the perfect space to wind down for the evening or rent out for private events. You will appreciate the full-size gym that has everything you need to meet your fitness goals. The 2nd floor also features an outdoor common space including a BBQ grill area, a putting green, and plenty of space to enjoy and entertain. Inside this amazing top-floor, penthouse suite you will find an upgraded 1 bedroom, 2 bath home drenched in natural light.     Some of the things you will notice as you enter the space are the high ceilings, open floorplan, and the number of windows. To the left, as you enter is the kitchen with beautiful dark cabinets, stone countertops, herringbone backsplash, custom lighting, stainless steel appliances, a breakfast bar, and a tile floor. The large living room opens up to what can be used as an office space, dining area, or convert it into a 2nd bedroom. The 2nd full bathroom near the front door is convenient for guests or future roommates. Enjoy sunsets from your balcony with great downtown views complete with storage. The large primary suite also has high ceilings, plenty of light, and a modern ceiling fan/light combo. It’s large enough for a king-size bed, nightstands, and dresser, and has additional closet space. The en-suite bathroom has dual sinks, lots of counter space, and a walk-in shower with a built-in bench. Not to mention a large walk-in closet for all of your clothes and shoes. Some of the other features are central A/C & heat, dual pane windows, smart lock, recessed lighting throughout, 1 garage parking space, and plenty of guest parking. The current owner rents a second parking spot for $80 a month.     Blu is only a block from the Metro, close to all of the downtown restaurants, bars & nightlife, near the Pike Outlets, Rainbow Harbor, the Aquarium of the Pacific, Pine Ave, the Promenade, the ocean, and East Village Arts District. Tour this unit as soon as possible and make Blu your next home!",https://photos.zillowstatic.com/fp/95ebf48a793dfc9582aaa0bda3cfd3ed-cc_ft_960.jpg https://photos.zillowstatic.com/fp/975afae27daf5591e2a6759f4a29b675-cc_ft_576.jpg https://photos.zillowstatic.com/fp/517b0f6f14a3ace66cb3800723864f26-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f21481f759fd4c4932b18ad7beed2a27-cc_ft_576.jpg https://photos.zillowstatic.com/fp/642496511fd0981f1dcef0e8754d3792-cc_ft_576.jpg,0.649999
119685955,4,3.0,2036.0,Torrance Ave,Sacramento,CA,"Welcome to 3233 Torrance Ave in Sacramento! This home has many upgrades done to the kitchen and bathrooms including flooring, appliances and lighting. Front, side and backyard have been professionally paved giving the home that complete and clean finish whilst being low maintenance. Short walking distance to Hampton Park which is roughly 5 acres in size and is a great place to spend an afternoon or evening; plenty of space for kids and/or animals to play. Centrally located to shopping, restaurants, Light Rail station, hospitals and several major freeways. Lighting throughout the home has been enhanced with recessed lighting on dimmer switches which is a great feature. Master bedroom has an upgraded ceiling fan with multiple settings operated with a remote control. Two large walk in closets and an extra room attached to the master bedroom, perfect for an office or baby's room. Built in 2013 and is in great shape. Upstairs has a study/office area near the stairs. Alarm and Ring Security systems to convey with the home as well as two Ecobee Smart Thermostats, one upstairs and the other downstairs. Gorgeous trees out front which add nice privacy and shade in the summer time. Low maintenance property that is turn key all for under $500k, come see it today!",https://photos.zillowstatic.com/fp/feddcb9521fdcbc51e966c68f967acd8-cc_ft_960.jpg https://photos.zillowstatic.com/fp/e40057473d4378b212733e0e88af1960-cc_ft_576.jpg https://photos.zillowstatic.com/fp/672012c5b4f2769a2c17f5a94c57a209-cc_ft_576.jpg https://photos.zillowstatic.com/fp/b06116738350a3c7f2143fbe7be1675d-cc_ft_576.jpg https://photos.zillowstatic.com/fp/5687126db335b2c550245e996cb7508e-cc_ft_576.jpg,0.499995
122236166,4,4.0,3966.0,E Bay Shore Walk,Long Beach,CA,"Sitting on a premium double lot on the quaint and serene bayside of Long Beach Peninsula, this striking property embodies luxurious style with nearly 4000 SF of interior living space. This beach front home is ideally positioned and boasts every desired amenity with stunning water views and direct access to the sand outside the front door. Each space has been thoughtfully curated to inspire tranquility. The gourmet kitchen features high-end stainless appliances and white shaker cabinets offering a seamless flow to the great room with unbeatable water views. This home boasts four bedrooms, including a top floor primary suite that feels like a private penthouse, complete with a cozy fireplace, balcony, spa bath, huge custom closet and a rooftop deck. The extra lot is currently configured as an added resort style yard with high quality faux turf, mature trees, and a spacious deck. The two-car garage has an electric vehicle charger (220), epoxy floors and added built-in storage. The automatic gate allows for security and privacy, as well as three additional private parking spots. The added lot is buildable space, perfect for an ADU if desired. The home was originally equipped with an elevator, but each area now serves as added storage (could be easily converted back if desired). Unique details like exposed beams, bricks, custom built ins and millwork make this home stand out with high-end design. Bike or stroll to the shops and restaurants in Naples and 2nd Street.",https://photos.zillowstatic.com/fp/6a08f42dbdcb5779b3d8e045e1def9ea-cc_ft_960.jpg https://photos.zillowstatic.com/fp/1f3a532b4c2dbda20fc356e415b67ae0-cc_ft_576.jpg https://photos.zillowstatic.com/fp/1f555ed8f29bdaa53f8d8b7f93fbfad1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/0a47620a88e6564eee332fb691685c1e-cc_ft_576.jpg https://photos.zillowstatic.com/fp/6f3d22cfb55b4010778915703ba23fd0-cc_ft_576.jpg,6.999
136192630,1,1.0,660.0,E Ocean Blvd,Long Beach,CA,"Dramatic and Panoramic Direct Beach, Ocean and Queen Mary Views.  This amazing property is in the beautiful and Historic Saint Regis building...This property has the ultimate charm, elegance, romance and resort beach life one can desire....Building has secure access, 2 elevators, 2 private ocean front patios and direct beach access to Alamitos beach parking lot, Shoreline and Pedestrian/Bike Path access, communal terrace that overlooks the coastline, a secure bike storage area, and a large community laundry room. Located on the 4th floor of the Historic St. Regis Building in Downtown Long Beach. Come and discover your own beach side home. This 1 bedroom condo boasts a multitude of appealing characteristics. Continue to enjoy the Beach and Ocean views from the Community Patio, where the Beach is literally your backyard. There is nothing quite like an ocean breeze. This Vintage Building is perfectly located. Just a short, pleasant walk to Shoreline Village, The Pike and Pine Ave Restaurants. Other local attractions include The Aquarium of the Pacific and The Queen Mary. Don't miss your opportunity to live on the beach.  Grab your sunglasses and flip flops, and come embrace the beach living lifestyle.",https://photos.zillowstatic.com/fp/161f41711ec192efdca3a9ff7430929c-cc_ft_960.jpg https://photos.zillowstatic.com/fp/285b1039018ee0a58ba769ff3387c319-cc_ft_576.jpg https://photos.zillowstatic.com/fp/31070056abf2dcb217935a2360bfef6c-cc_ft_576.jpg https://photos.zillowstatic.com/fp/10043cf6f33ba84ac5be2e03a7e073b6-cc_ft_576.jpg https://photos.zillowstatic.com/fp/b46fca306a3258a4209aa90c97bb6f37-cc_ft_576.jpg,0.475
136698800,2,1.0,,Atlantic Ave,Long Beach,CA,"All ages Villa Park.  This lovely North Long Beach manufactured home is conveniently located near the 710 and 91 freeway.  The home features 2 bedrooms and 1 bathroom, in a 24-hour secured gated community.  The property is close to many schools, shops, and restaurants.  It also features a carport that can fit up to 2 to 3 cars. The community also includes a pool and clubhouse.   Needs some TLC, and will be sold AS IS, but it is a great opportunity for a family that is downsizing or a first-time home buyer.",https://photos.zillowstatic.com/fp/1d9fa94439e858b42a7a7d6b5de8d2da-cc_ft_960.jpg https://photos.zillowstatic.com/fp/1d9fa94439e858b42a7a7d6b5de8d2da-cc_ft_960.jpg https://www.zillowstatic.com/s3/hdp/home-details/images/video-tile-placeholder.jpg,0.099
136698997,3,2.0,1120.0,Long Beach Blvd,Long Beach,CA,"Don't miss this fantastic opportunity at Westland Mobile Home Park! Introducing a 3-bedroom, 2-bathroom double wide manufactured home, renovated in 2015. It boasts an updated open concept kitchen with granite countertops, ample cabinet space, and a dining breakfast bar. Plus, it's freshly painted as of last week! Relax and entertain on the private front porch, with ample space for parking up to 2 cars. Standout features of this home include 2 additional bonus rooms, bringing the bedroom count to an impressive 5! The master suite promises comfort with ample closet space and a private bathroom. Don't wait to seize this amazing opportunity!",https://photos.zillowstatic.com/fp/5bc1f644b766aa5eeb0533daee656605-cc_ft_960.jpg https://photos.zillowstatic.com/fp/9eacb9714d05854020a9ec4670a5302e-cc_ft_576.jpg https://photos.zillowstatic.com/fp/7001ec206546d59237b60bdd4b93db04-cc_ft_576.jpg https://photos.zillowstatic.com/fp/88f7cf677f62ff774b1e092f00ad3012-cc_ft_576.jpg https://photos.zillowstatic.com/fp/a284fced2aa8949c9a22d0b77a3e2c1d-cc_ft_576.jpg,0.18
157720196,4,4.0,2258.0,Forney Way,Sacramento,CA,"Welcome to McKinley Village! This exceptional home boasts 4 bedrooms, 4 baths, and spans across 2,258 square feet of luxurious living space. Located in the heart of Sacramento, this modern residence offers an open floor plan, stunning quartz countertops, and an upstairs den. Step inside and be greeted by a seamless flow between the living, dining, and kitchen areas. The living room provides a cozy retreat, while the gourmet kitchen features sleek quartz countertops, custom cabinetry, and stainless steel appliances. Adjacent to the kitchen is a spacious dining area, perfect for hosting gatherings. This home offers a downstairs office, a full bath, and an additional upstairs den, providing flexibility for an entertainment room or additional bedroom. Each of the four bedrooms is generously sized with ample closet space. The bathrooms are elegantly designed with modern fixtures and finishes.     Outside, the low-maintenance backyard offers a cozy space for relaxation and outdoor entertaining. The attached two-car garage adds convenience and storage. McKinley Village is renowned for its vibrant community atmosphere, with parks, playgrounds, and trails. Enjoy easy access to downtown Sacramento, popular restaurants, shopping centers, and major freeways. Don't miss this opportunity",https://photos.zillowstatic.com/fp/62e4f39e1772787ccf6716980d6cc4dd-cc_ft_960.jpg https://photos.zillowstatic.com/fp/12dcddcab7b817559ece01d1e4b9ac14-cc_ft_576.jpg https://photos.zillowstatic.com/fp/846ba4b76ad446c5e25ff7bca34ebc49-cc_ft_576.jpg https://photos.zillowstatic.com/fp/75ed4690795b6fbbb0c119f870240b2e-cc_ft_576.jpg https://photos.zillowstatic.com/fp/fd85b337d90afba5bad850654b9bc2c2-cc_ft_576.jpg,0.9495
157720199,4,4.0,3172.0,McKinley Village Way,Sacramento,CA,"Located in the heart of the East Sacramento community of McKinley Village, this coveted luxury home was built with extensive upgrades. As a former model home, the gourmet chef's kitchen is equipped with Viking appliances, oversized island, quartz counter tops and upgraded cabinets. Restoration Hardware lighting fixtures, imperfect smooth wall finishes and upgraded hardwood floors make this home shine. Experience full audio-video entertainment in common areas. The great room with high ceilings opens to the kitchen and adjacent butler pantry, complete with wet bar and wine fridge. The family room and dedicated breakfast area provide direct access to the tastefully landscaped backyard. Relax comfortably under the covered patio with a built-in fireplace, or soak in the hot tub while watching your favorite show on the outdoor TV. Let the dog stretch their legs along the side of the home on the high-grade artificial turf dog-run. This exquisite low maintenance home was strategically designed for perfect work-play balance. With unique amenities and proximity to stores, restaurants, major hospitals, reputable schools, midtown and downtown, this well-established community is highly sought after, as it has something for everyone!",https://photos.zillowstatic.com/fp/78e9852ed402b5e557af3cd1ea0bdefb-cc_ft_960.jpg https://photos.zillowstatic.com/fp/8c0c8a77801d632419a1dc509bfa9487-cc_ft_576.jpg https://photos.zillowstatic.com/fp/73a0d5fa286abf41d6f9b08acfb69a65-cc_ft_576.jpg https://photos.zillowstatic.com/fp/f7ce99ec996268118cc2e0efc45039e7-cc_ft_576.jpg,1.4249
2057168761,2,1.0,5037.0,21st Ave,Sacramento,CA,"Fantastic investment opportunity near Curtis Park!  2652 21st ave is a 6 unit asset located 1/2 mile from Curtis park and the Crocker Village development that consists of two single family homes and a 4plex all on over 1/2 acre of land.  Both houses have private fenced yards and attached garages while the apartments have ample parking available.  Updates vary by unit but all have washer/dryer hook ups.  Cap rate is based on actual income and expenses, not pro forma.",https://photos.zillowstatic.com/fp/c4d4cd737339a0ef9c90a36f2f73b92d-cc_ft_960.jpg https://photos.zillowstatic.com/fp/5f9d243723342683d734ac37a89473d1-cc_ft_576.jpg https://photos.zillowstatic.com/fp/102b2eda9ca360bda6336f7e5af1b11a-cc_ft_576.jpg https://photos.zillowstatic.com/fp/067567abe1284f76ea44966cab70c2f3-cc_ft_576.jpg https://photos.zillowstatic.com/fp/79ea04ae8dd7ef80b43c51892d3ba5d4-cc_ft_576.jpg,1.249
2057196241,4,3.0,2764.0,Earthened Walk,Sacramento,CA,"Incredible modern Plan 4 at The Cove's Westward neighborhood is currently under construction and estimated to be complete in December! This two-story home features 4 bedrooms + loft with an open concept great room, chef's kitchen with center island and a sizeable walk-in pantry + butler's pantry. First-floor bedroom and full bathroom are perfect for overnight guests, in-laws or an older child. Primary Bedroom suite includes dual sink vanity, soaking tub, walk-in shower, and a spacious walk-in closet. Exclusive Clubhouse includes a Junior Olympic size pool, fitness center, shaded BBQ areas and more! Westward at The Cove is located just a few short minutes from vibrant Downtown Sacramento.",https://photos.zillowstatic.com/fp/e0774a7b242fa96ae1b27822155aa42d-cc_ft_960.jpg https://photos.zillowstatic.com/fp/ea1b83eeab039a438118230cbd98b93e-cc_ft_576.jpg https://photos.zillowstatic.com/fp/cf9f0b295a5bf201bde99e3a98aa4de6-cc_ft_576.jpg https://photos.zillowstatic.com/fp/e0774a7b242fa96ae1b27822155aa42d-cc_ft_960.jpg,0.641745
